expense_id;client_id;place_id;is_promo_type;creation_utc;creator_employee_id
798729;153380;1;0;2018-06-02 19:15:00;1031
798735;153370;1;0;2018-06-02 19:20:00;1031
798736;153382;1;0;2018-06-02 19:21:00;1031
798737;147689;1;0;2018-06-02 19:21:00;1031
798738;153366;1;0;2018-06-02 19:21:00;1031
798748;133904;3;0;2018-06-02 20:19:00;7570
798749;143631;3;0;2018-06-02 20:19:00;7570
798755;146040;1;0;2018-06-02 20:35:00;1031
798762;153177;3;0;2018-06-02 20:41:00;7570
798766;153178;3;0;2018-06-02 20:43:00;7570
798767;31505;3;0;2018-06-02 20:43:00;7570
798768;131478;3;0;2018-06-02 20:44:00;7570
798771;147703;1;0;2018-06-02 21:16:00;1031
798772;146038;1;0;2018-06-02 21:18:00;1031
798318;140480;1;0;2018-06-01 17:33:00;1031
798319;72728;3;0;2018-06-01 17:37:00;7570
798324;17718;3;0;2018-06-01 17:39:00;7570
798330;142800;3;0;2018-06-01 17:58:00;7570
798331;153179;3;0;2018-06-01 17:58:00;7570
798332;153181;3;0;2018-06-01 17:59:00;7570
798337;153740;1;0;2018-06-01 18:24:00;1031
798338;109763;1;0;2018-06-01 18:24:00;1031
798344;78261;1;0;2018-06-01 18:49:00;1031
798351;31505;3;0;2018-06-01 18:52:00;7570
798355;150922;3;0;2018-06-01 18:58:00;7570
798366;113122;1;0;2018-06-01 19:26:00;1031
798373;74878;1;0;2018-06-01 19:51:00;1031
798374;51605;3;0;2018-06-01 19:54:00;7537
798390;51605;3;0;2018-06-01 20:29:00;7537
798392;153680;3;0;2018-06-01 20:30:00;7537
798397;134080;1;0;2018-06-01 20:35:00;1031
798398;153377;1;0;2018-06-01 20:37:00;1031
798406;153680;3;0;2018-06-01 20:59:00;7537
798408;153354;1;0;2018-06-01 21:02:00;1031
798425;153366;1;0;2018-06-01 21:49:00;1031
798426;153380;1;0;2018-06-01 21:50:00;1031
798436;142179;3;0;2018-06-01 22:21:00;7537
798437;142179;3;0;2018-06-01 22:24:00;7537
798449;137528;1;0;2018-06-01 23:15:00;1031
798453;153755;3;0;2018-06-01 23:36:00;7537
798455;153757;3;0;2018-06-01 23:41:00;7537
798459;153759;3;0;2018-06-01 23:53:00;7537
798460;153759;3;1;2018-06-01 23:53:00;7537
798463;142800;3;0;2018-06-02 00:02:00;7537
